Date;PCR
2021-10-26 00:00:00;1.79
2021-10-27 00:00:00;1.67
2021-10-28 00:00:00;1.61
2021-10-29 00:00:00;1.86
2021-11-01 00:00:00;1.85
2021-11-02 00:00:00;2
2021-11-03 00:00:00;1.5
2021-11-04 00:00:00;1.99
2021-11-05 00:00:00;1.58
2021-11-08 00:00:00;2.02
2021-11-09 00:00:00;1.84
2021-11-10 00:00:00;1.86
2021-11-11 00:00:00;1.8
2021-11-12 00:00:00;1.82
2021-11-15 00:00:00;1.92
2021-11-16 00:00:00;1.71
2021-11-17 00:00:00;1.71
2021-11-18 00:00:00;1.82
2021-11-19 00:00:00;2.18
2021-11-22 00:00:00;1.61
2021-11-23 00:00:00;1.89
2021-11-24 00:00:00;1.89
2021-11-26 00:00:00;2.29
2021-11-29 00:00:00;2.07
2021-11-30 00:00:00;1.87
2021-12-01 00:00:00;2.13
2021-12-02 00:00:00;2.11
2021-12-03 00:00:00;2.23
2021-12-06 00:00:00;2.38
2021-12-07 00:00:00;1.84
2021-12-08 00:00:00;2.1
2021-12-09 00:00:00;2.18
2021-12-10 00:00:00;2.42
2021-12-13 00:00:00;2.05
2021-12-14 00:00:00;1.51
2021-12-15 00:00:00;1.64
2021-12-16 00:00:00;1.61
2021-12-17 00:00:00;1.82
2021-12-20 00:00:00;1.76
2021-12-21 00:00:00;2.14
2021-12-22 00:00:00;1.46
2021-12-23 00:00:00;1.61
2021-12-27 00:00:00;1.38
2021-12-28 00:00:00;1.51
2021-12-29 00:00:00;1.72
2021-12-30 00:00:00;1.68
2021-12-31 00:00:00;1.49
2022-01-03 00:00:00;1.79
2022-01-04 00:00:00;2.02
2022-01-05 00:00:00;2.09
2022-01-06 00:00:00;1.75
2022-01-07 00:00:00;1.86
2022-01-10 00:00:00;1.71
2022-01-11 00:00:00;1.51
2022-01-12 00:00:00;1.44
2022-01-13 00:00:00;1.85
2022-01-14 00:00:00;1.88
2022-01-18 00:00:00;1.75
2022-01-19 00:00:00;1.66
2022-01-20 00:00:00;1.77
2022-01-21 00:00:00;1.75
2022-01-24 00:00:00;1.97
2022-01-25 00:00:00;1.44
2022-01-26 00:00:00;1.64
2022-01-27 00:00:00;1.77
2022-01-28 00:00:00;1.44
2022-01-31 00:00:00;1.59
2022-02-01 00:00:00;1.56
2022-02-02 00:00:00;1.43
2022-02-03 00:00:00;1.75
2022-02-04 00:00:00;1.45
2022-02-07 00:00:00;1.57
2022-02-08 00:00:00;1.73
2022-02-09 00:00:00;1.51
2022-02-10 00:00:00;1.61
2022-02-11 00:00:00;2.02
2022-02-14 00:00:00;1.76
2022-02-15 00:00:00;2.07
2022-02-16 00:00:00;1.65
2022-02-17 00:00:00;1.46
2022-02-18 00:00:00;1.54
2022-02-22 00:00:00;1.39
2022-02-23 00:00:00;1.2
2022-02-24 00:00:00;1.57
2022-02-25 00:00:00;1.3
2022-02-28 00:00:00;1.5
2022-03-01 00:00:00;1.63
2022-03-02 00:00:00;1.71
2022-03-03 00:00:00;1.48
2022-03-04 00:00:00;2
2022-03-07 00:00:00;1.85
2022-03-08 00:00:00;1.8
2022-03-09 00:00:00;1.64
2022-03-10 00:00:00;1.38
2022-03-11 00:00:00;1.86
2022-03-14 00:00:00;1.81
2022-03-15 00:00:00;1.92
2022-03-16 00:00:00;1.56
2022-03-17 00:00:00;1.5
2022-03-18 00:00:00;1.45
2022-03-21 00:00:00;1.69
2022-03-22 00:00:00;1.9
2022-03-23 00:00:00;1.78
2022-03-24 00:00:00;1.77
2022-03-25 00:00:00;1.85
2022-03-28 00:00:00;1.9
2022-03-29 00:00:00;1.61
2022-03-30 00:00:00;1.73
